Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
63.32,SA,0.222,0.186,0.216,0.154,0.047,0.154,1032,1160,0.366,0.099,0.019,0.048,0.199,0.041,0.247,0.167,0.129,0.148,0.113,0.103,0.097,0.138,0.008,0.535,60.78122727195972,2.5387727280402785,0.6457336316299838,0.2136554827905672,4.444616057987257,0.00354044631411558
47.14,QLD,0.188,0.339,0.149,0.072,0.027,0.131,1902,2167,0.208,0.274,0.135,0.183,0.151,0.027,0.123,0.146,0.341,0.096,0.093,0.141,0.026,0.062,0.005,0.855,50.12729955341105,-2.9872995534110487,-0.7235931304218485,0.13295686416087915,4.442617585987451,0.0025090478923230344
70.48,QLD,0.249,0.225,0.175,0.122,0.046,0.161,1298,1535,0.313,0.119,0.054,0.068,0.182,0.033,0.19,0.117,0.193,0.152,0.113,0.136,0.066,0.118,0.006,0.729,68.984999313156,1.4950006868440084,0.3650456666989273,0.14678120006779435,4.449929822653037,7.163981152199351e-4
55.39,WA,0.231,0.227,0.185,0.118,0.034,0.155,1527,1950,0.311,0.308,0.113,0.157,0.183,0.037,0.195,0.104,0.171,0.176,0.109,0.143,0.091,0.1,0.006,0.644,54.67632836065853,0.7136716393414702,0.17188098245656577,0.12297242336894734,4.451870756766977,1.2944943488742621e-4
58.36,QLD,0.246,0.277,0.165,0.092,0.024,0.192,1392,1733,0.214,0.136,0.055,0.072,0.157,0.033,0.194,0.093,0.185,0.153,0.15,0.134,0.076,0.097,0.006,0.712,48.484104367910845,9.875895632089154,2.5680310056970663,0.24764210239039447,4.3272921480247,0.06783448712923384
53.88,VIC,0.174,0.325,0.157,0.102,0.041,0.11,1903,2186,0.294,0.327,0.152,0.265,0.153,0.025,0.13,0.182,0.385,0.068,0.081,0.127,0.014,0.036,0.006,0.886,56.64796667201981,-2.76796667201981,-0.6788464863254875,0.15423328189452476,4.443794010817216,0.0026261569597411244
43.46,SA,0.189,0.227,0.197,0.132,0.06,0.174,1213,1644,0.334,0.253,0.084,0.229,0.197,0.034,0.201,0.117,0.202,0.135,0.121,0.155,0.06,0.094,0.006,0.767,46.593615984900026,-3.1336159849000254,-0.7923189284254957,0.20427406716579158,4.440663847897268,0.005036163350293223
64.5,QLD,0.213,0.167,0.203,0.195,0.058,0.177,947,1400,0.384,0.141,0.032,0.043,0.192,0.033,0.303,0.104,0.165,0.143,0.134,0.117,0.072,0.137,0.008,0.628,63.722515273731716,0.777484726268284,0.20908826308447764,0.29660957999531246,4.451605538027341,5.76100240280218e-4
41.3,VIC,0.286,0.266,0.143,0.067,0.017,0.154,1573,1733,0.193,0.379,0.169,0.354,0.174,0.034,0.194,0.095,0.133,0.167,0.114,0.143,0.108,0.122,0.008,0.698,42.95884608495712,-1.6588460849571263,-0.42520713455610465,0.22574659286602158,4.449039821214735,0.0016473625421845155
44.09,VIC,0.192,0.302,0.152,0.11,0.05,0.145,1442,2000,0.365,0.493,0.211,0.518,0.161,0.027,0.173,0.123,0.259,0.119,0.094,0.141,0.053,0.09,0.008,0.879,44.31458508332646,-0.22458508332645977,-0.05660076456807186,0.19907980123875488,4.452363539732046,2.488470914994096e-5
